count,Entity,Country1,Country2,Country3,Country4,Country5,Country6,Country7,Country8,Country9,Country10,Countries
3,Amerikai Egyesült Állam,United States of America,,,,,,,,,,Afghanistan
5,Egyesült Államo,United States of America,,,,,,,,,,Albania
67,Egyesült Államok,United States of America,,,,,,,,,,Algeria
3,Amerikai Egyesült Államok,United States of America,,,,,,,,,,Andorra
8,Egyesült Államok,United States of America,,,,,,,,,,Angola
10,Egyesült Állam,United States of America,,,,,,,,,,Anguilla
21,Amerikai Egyesült Államok,United States of America,,,,,,,,,,Antigua & Barbuda
2,Egyesült Ál-,United States of America,,,,,,,,,,Argentina
2,Egyesült Álla-,United States of America,,,,,,,,,,Armenia
3,Egyesült Állam,United States of America,,,,,,,,,,Aruba
66,Szovjetunió,Russia,,,,,,,,,,Australia
7,Szovjetunio,Russia,,,,,,,,,,Austria
2,a Szovjetunió határ,Russia,,,,,,,,,,Azerbaijan
4,Olasz-,Italy,,,,,,,,,,Bahamas
5,Olasz Királyság,Italy,,,,,,,,,,Bahrain
2,Milyen,x,,,,,,,,,,Bangladesh
3,milyen,x,,,,,,,,,,Barbados
181,Németország,Germany,,,,,,,,,,Belarus
6,Német-,Germany,,,,,,,,,,Belgium
19,Osztrák–Magyar Monarchia,Austria,,,,,,,,,,Belize
3,Osztrák–Magyar Monarchia,Austria,,,,,,,,,,Benin
3,az Osztrák–magyar Monarchia,Austria,,,,,,,,,,Bermuda
10,Osztrák–magyar Monarchia,Austria,,,,,,,,,,Bhutan
6,az Osztrák–Magyar Monarchia,Austria,,,,,,,,,,Bolivia
3,a Monarchia,Austria,,,,,,,,,,Bosnia & Herzegovina
37,Monarchia,Austria,,,,,,,,,,Botswana
2,Osztrák–magyar Monarchia,Austria,,,,,,,,,,Brazil
7,Poroszország,Germany,,,,,,,,,,British Virgin Islands
2,Szovjet-Oroszország,Russia,,,,,,,,,,Brunei
72,Oroszország,Russia,,,,,,,,,,Bulgaria
3,Szentpétervár,Russia,,,,,,,,,,Burkina Faso
8,Pétervár,Russia,,,,,,,,,,Burundi
2,az ország lakosság,x,,,,,,,,,,Cambodia
2,Lakosság,x,,,,,,,,,,Cameroon
2,Gárdonyi,Hungary,,,,,,,,,,Canada
2,Gárdonyit,Hungary,,,,,,,,,,Cape Verde
3,Gárdonyi Géza,Hungary,,,,,,,,,,Cayman Islands
6,BULG Á R,Bulgaria,,,,,,,,,,Central Arfrican Republic
4,BULGÁ R I,Bulgaria,,,,,,,,,,Chad
3,Nemzeti Munkapárt,x,,,,,,,,,,Chile
2,Nemze-,x,,,,,,,,,,China
2,Charlie,x,,,,,,,,,,Colombia
2,Charles Darwin,United Kingdom,,,,,,,,,,Congo
4,Libéria,Liberia,,,,,,,,,,Cook Islands
3,Szibéria,Russia,,,,,,,,,,Costa Rica
11,Tanácsköztársaság,Hungary,,,,,,,,,,Cote D Ivoire
3,a Tanácsköztársaság,Hungary,,,,,,,,,,Croatia
3,Írország,Ireland,,,,,,,,,,Cuba
2,Bajorország,Germany,,,,,,,,,,Curacao
14,Ázsia,xx,,,,,,,,,,Cyprus
3,Kelet-Ázsia,xx,,,,,,,,,,Czech Republic
2,Délkelet-Ázsia,xx,,,,,,,,,,Denmark
4,Okok és következmények,x,,,,,,,,,,Djibouti
3,Ok és következmény,x,,,,,,,,,,Dominica
2,ez,x,,,,,,,,,,Dominican Republic
2,Miklós,x,,,,,,,,,,Ecuador
6,0. Miklós,Russia,,,,,,,,,,Egypt
11,II. Miklós,Russia,,,,,,,,,,El Salvador
2,V. György,United Kingdom,,,,,,,,,,Equatorial Guinea
2,0. György,United Kingdom,,,,,,,,,,Eritrea
11,Roosevelt,United States of America,,,,,,,,,,Estonia
4,Frankli Delano Roosevelt,United States of America,,,,,,,,,,Ethiopia
4,Szent-Györgyi Albert,Hungary,,,,,,,,,,Falkland Islands
2,Szent-Györgyi,Hungary,,,,,,,,,,Faroe Islands
25,Lengyelország,Poland,,,,,,,,,,Fiji
5,Lengyel-,Poland,,,,,,,,,,Finland
3,Magyar Nemzeti Bank,Hungary,,,,,,,,,,France
3,Magyar Nemzeti Tanács,Hungary,,,,,,,,,,French Polynesia
2,Darányi  Kálmán,Hungary,,,,,,,,,,French West Indies
3,Darányi Kálmán,Hungary,,,,,,,,,,Gabon
15,0. Napóleon,France,,,,,,,,,,Gambia
3,III. Napóleon,France,,,,,,,,,,Georgia
3,Napóleon,France,,,,,,,,,,Germany
3,II. Viktor Emánuel,Italy,,,,,,,,,,Ghana
2,Viktor Emánuel,Italy,,,,,,,,,,Gibraltar
2,0. Viktor Emánuel,Italy,,,,,,,,,,Greece
3,Tiszántúlt,Hungary,,,,,,,,,,Greenland
3,Tiszántúl,Hungary,,,,,,,,,,Grenada
2,Tiszán-,Hungary,,,,,,,,,,Guam
2,Tiszán,Hungary,,,,,,,,,,Guatemala
2,0. Vilmos,Germany,,,,,,,,,,Guernsey
9,II. Vilmos,Germany,,,,,,,,,,Guinea
2,Theodor Herzl,Austria,,,,,,,,,,Guinea Bissau
3,Herzl,Austria,,,,,,,,,,Guyana
8,ÖsszegzésOkok és következmények,x,,,,,,,,,,Haiti
7,ÖsszegzésOkok,x,,,,,,,,,,Honduras
4,Népszövetségbe,x,,,,,,,,,,Hong Kong
9,Népszövetség,x,,,,,,,,,,Hungary
5,0. Károly,Hungary,,,,,,,,,,Iceland
8,IV. Károly,Hungary,,,,,,,,,,India
2,DIA,x,,,,,,,,,,Indonesia
2,LOMBARDIA,Italy,,,,,,,,,,Iran
2,Keynes,United Kingdom,,,,,,,,,,Iraq
2,John Maynard Keynes,United Kingdom,,,,,,,,,,Ireland
2,Andrássy,Hungary,,,,,,,,,,Isle of Man
5,Andrássy Gyula,Hungary,,,,,,,,,,Israel
2,Andrássy Gyulát,Hungary,,,,,,,,,,Italy
2,BELGIU,Belgium,,,,,,,,,,Jamaica
6,BELGIUM,Belgium,,,,,,,,,,Japan
2,Musztafa Kemál,Turkey,,,,,,,,,,Jersey
2,Kemál,Turkey,,,,,,,,,,Jordan
6,Gömbös,Hungary,,,,,,,,,,Kazakhstan
14,Gömbös Gyula,Hungary,,,,,,,,,,Kenya
7,Berlin,Germany,,,,,,,,,,Kiribati
19,Berli,Germany,,,,,,,,,,Kosovo
3,Német Szövetség,Germany,,,,,,,,,,Kuwait
3,Északnémet Szövetség,Germany,,,,,,,,,,Kyrgyzstan
3,Földközi-tenger,x,,,,,,,,,,Laos
3,Föld,x,,,,,,,,,,Latvia
3,SA,x,,,,,,,,,,Lebanon
5,USA,United States of America,,,,,,,,,,Lesotho
14,Szeged,Hungary,,,,,,,,,,Liberia
2,Szegedi Napló,Hungary,,,,,,,,,,Libya
8,Debrec,Hungary,,,,,,,,,,Liechtenstein
3,Debrecen,Hungary,,,,,,,,,,Lithuania
29,Csehszlovákia,Czech Republic,Slovakia,,,,,,,,,Luxembourg
8,Szlovákia,Slovakia,,,,,,,,,,Macau
7,Felvidék,Slovakia,,,,,,,,,,Macedonia
2,Felvidékre,Slovakia,,,,,,,,,,Madagascar
3,Vörös Hadsereg,Russia,,,,,,,,,,Malawi
23,Vörös Hadsereg,Russia,,,,,,,,,,Malaysia
2,a Vörös Hadsereg,Russia,,,,,,,,,,Maldives
4,Összegzés,x,,,,,,,,,,Mali
4,ÖsszegzésVáltozás és folytonosság,x,,,,,,,,,,Malta
2,Kongresszus Párt,India,,,,,,,,,,Marshall Islands
2,Kongresszus,x,,,,,,,,,,Mauritania
4,történelmi jelentőség,x,,,,,,,,,,Mauritius
22,Történelmi jelentőség,x,,,,,,,,,,Mexico
6,mi,x,,,,,,,,,,Micronesia
4,Imrédy,Hungary,,,,,,,,,,Moldova
8,Imrédy Béla,Hungary,,,,,,,,,,Monaco
16,Habsburg Birodalom,Austria,,,,,,,,,,Mongolia
6,Habsburg,Austria,,,,,,,,,,Montenegro
2,Nagaszaki,Japan,,,,,,,,,,Montserrat
24,Bismarck,Germany,,,,,,,,,,Morocco
2,Otto von Bismarck,Germany,,,,,,,,,,Mozambique
27,Lenin,Russia,,,,,,,,,,Myanmar
6,Leningrád,Russia,,,,,,,,,,Namibia
2,Magyaror-,Hungary,,,,,,,,,,Nauro
3,Magyar,Hungary,,,,,,,,,,Nepal
253,Magyarország,Hungary,,,,,,,,,,Netherlands
2,Magyarok,Hungary,,,,,,,,,,Netherlands Antilles
8,Amerika,xx,,,,,,,,,,New Caledonia
5,Észak-Amerika,United States of America,Canada,Mexico,,,,,,,,New Zealand
2,Történelem,x,,,,,,,,,,Nicaragua
2,T,x,,,,,,,,,,Niger
